column,dtype,null_pct,unique_pct,avg_len,label,source_file
Education,text,0.0,0.0006447453255963894,8.393939393939394,cast_to_string,Employee.csv
JoiningYear,integer,0.0,0.0015044057597249087,4.0,,Employee.csv
City,text,0.0,0.0006447453255963894,7.637438211906297,,Employee.csv
PaymentTier,integer,0.0,0.0006447453255963894,1.0,,Employee.csv
Age,integer,0.0,0.004298302170642596,2.0,,Employee.csv
Gender,text,0.0,0.0004298302170642596,4.805931656995487,,Employee.csv
EverBenched,text,0.0,0.0004298302170642596,2.102729421878358,,Employee.csv
ExperienceInCurrentDomain,integer,0.0,0.0017193208682570384,1.0,,Employee.csv
LeaveOrNot,integer,0.0,0.0004298302170642596,1.0,,Employee.csv
expid,text,0.0,0.9996498905908097,9.0,,exped.csv
peakid,text,0.0,0.036411378555798686,4.0,,exped.csv
year,integer,0.0,0.00849015317286652,4.0,,exped.csv
season,text,0.0,0.000437636761487965,6.000175054704595,,exped.csv
host,text,0.0,0.000350109409190372,5.00035010940919,,exped.csv
route1,text,0.01312910284463895,0.11133479212253829,11.392372505543237,fill_mode,exped.csv
route2,text,0.9684901531728666,0.022669584245076587,19.683333333333334,drop_column,exped.csv
route3,text,0.9973741794310722,0.00262582056892779,26.033333333333335,drop_column,exped.csv
route4,text,0.999562363238512,0.000437636761487965,25.8,drop_column,exped.csv
nation,text,0.0,0.0087527352297593,5.867133479212254,,exped.csv
leaders,text,0.002100656455142232,0.5298030634573304,14.481887553723357,fill_mode,exped.csv
sponsor,text,0.07142231947483589,0.8017505470459518,36.233952304647,drop_column,exped.csv
success1,text,0.0,0.000175054704595186,4.450678336980307,,exped.csv
success2,text,0.0,0.000175054704595186,4.985733041575492,,exped.csv
success3,text,0.0,0.000175054704595186,4.998862144420131,,exped.csv
success4,text,0.0,0.000175054704595186,4.999562363238512,,exped.csv
ascent1,text,0.7568490153172867,0.08708971553610503,5.065514758819295,drop_column,exped.csv
ascent2,text,0.991159737417943,0.0056892778993435445,4.693069306930693,drop_column,exped.csv
ascent3,text,0.9990371991247264,0.000700218818380744,4.454545454545454,drop_column,exped.csv
ascent4,text,0.9996498905908097,0.000350109409190372,3.5,drop_column,exped.csv
claimed,text,0.0,0.000175054704595186,4.997286652078775,,exped.csv
disputed,text,0.0,0.000175054704595186,4.994398249452954,,exped.csv
countries,text,0.64,0.14170678336980305,18.62338925358619,drop_column,exped.csv
approach,text,0.5242013129102845,0.22765864332603938,27.8841059602649,drop_column,exped.csv
bcdate,datetime,0.14266958424507659,0.3926477024070022,10.0,fill_mode_date,exped.csv
smtdate,datetime,0.06608315098468272,0.37444201312910286,10.0,fill_mode_date,exped.csv
smttime,float,0.5639387308533916,0.03921225382932166,5.60417503010839,drop_column,exped.csv
smtdays,float,0.15352297592997813,0.007702407002188184,3.76589804570365,fill_mode_date,exped.csv
totdays,float,0.26424507658643326,0.00849015317286652,3.8730668570069,,exped.csv
termdate,datetime,0.2603938730853392,0.3073960612691466,10.0,fill_mode_date,exped.csv
termreason,text,0.0,0.001312910284463895,28.48288840262582,,exped.csv
termnote,text,0.5931728665207877,0.344945295404814,49.81303786574871,drop_column,exped.csv
highpoint,integer,0.0,0.0638074398249453,3.8679212253829323,,exped.csv
traverse,text,0.0,0.000175054704595186,4.990284463894967,,exped.csv
ski,text,0.0,0.000175054704595186,4.983194748358862,,exped.csv
parapente,text,0.0,0.000175054704595186,4.9975492341356675,,exped.csv
camps,integer,0.0,0.001487964989059081,1.0006126914660831,,exped.csv
rope,integer,0.0,0.012778993435448577,1.3685776805251642,,exped.csv
totmembers,integer,0.0,0.004638949671772429,1.1943107221006564,,exped.csv
smtmembers,integer,0.0,0.002975929978118162,1.0326477024070022,,exped.csv
mdeaths,integer,0.0,0.000700218818380744,1.0000875273522976,,exped.csv
tothired,integer,0.0,0.004989059080962801,1.0743107221006565,,exped.csv
smthired,integer,0.0,0.003326039387308534,1.0227571115973741,,exped.csv
hdeaths,integer,0.0,0.00087527352297593,1.0001750547045951,,exped.csv
nohired,text,0.0,0.000175054704595186,4.6849015317286655,,exped.csv
o2used,text,0.0,0.000175054704595186,4.704332603938731,,exped.csv
o2none,text,0.0,0.000175054704595186,4.3066958424507655,,exped.csv
o2climb,text,0.0,0.000175054704595186,4.735229759299781,,exped.csv
o2descent,text,0.0,0.000175054704595186,4.9862582056892775,,exped.csv
o2sleep,text,0.0,0.000175054704595186,4.856105032822757,,exped.csv
o2medical,text,0.0,0.000175054704595186,4.971115973741794,,exped.csv
o2taken,text,0.0,0.000175054704595186,4.9192997811816195,,exped.csv
o2unkwn,text,0.0,0.000175054704595186,4.997636761487965,,exped.csv
othersmts,text,0.807527352297593,0.17216630196936542,46.81855388813097,drop_column,exped.csv
campsites,text,0.03317286652078775,0.9273522975929979,70.50235379322832,fill_mode,exped.csv
accidents,text,0.7373304157549234,0.2377242888402626,54.153282239253585,drop_column,exped.csv
achievment,text,0.9145733041575492,0.07649890590809628,35.24282786885246,drop_column,exped.csv
agency,text,0.15133479212253828,0.08560175054704595,18.565181518151814,fill_mode,exped.csv
comrte,text,0.0,0.000175054704595186,4.504945295404814,,exped.csv
stdrte,text,0.0,0.000175054704595186,4.505908096280088,,exped.csv
primrte,text,0.0,0.000175054704595186,4.978993435448578,,exped.csv
primmem,text,0.0,0.000175054704595186,4.97382932166302,,exped.csv
primref,text,0.0,0.000175054704595186,4.945032822757112,,exped.csv
primid,text,0.9340919037199125,0.05225382932166302,9.0,drop_column,exped.csv
chksum,integer,0.0,0.5709409190371991,6.799737417943107,,exped.csv
PERSON_ID,integer,0.0,1.0,5.2208955223880595,,PlayerIndex_nba_stats.csv
PLAYER_LAST_NAME,text,0.0,0.5982089552238806,6.5379104477611945,,PlayerIndex_nba_stats.csv
PLAYER_FIRST_NAME,text,0.0001990049751243781,0.3309452736318408,5.022292993630574,,PlayerIndex_nba_stats.csv
PLAYER_SLUG,text,0.0,0.9920398009950249,12.525174129353234,drop_column,PlayerIndex_nba_stats.csv
TEAM_ID,integer,0.0,0.008955223880597015,10.0,,PlayerIndex_nba_stats.csv
TEAM_SLUG,text,0.05293532338308458,0.005970149253731343,6.458499684807733,fill_mode,PlayerIndex_nba_stats.csv
IS_DEFUNCT,integer,0.0,0.0003980099502487562,1.0,,PlayerIndex_nba_stats.csv
TEAM_CITY,text,0.0,0.007562189054726368,8.275820895522388,,PlayerIndex_nba_stats.csv
TEAM_NAME,text,0.0,0.00855721393034826,6.6447761194029855,,PlayerIndex_nba_stats.csv
TEAM_ABBREVIATION,text,0.0,0.008756218905472637,3.0,,PlayerIndex_nba_stats.csv
JERSEY_NUMBER,text,0.06985074626865671,0.02447761194029851,1.763157894736842,cast_to_int,PlayerIndex_nba_stats.csv
POSITION,text,0.00955223880597015,0.0013930348258706469,1.213381555153707,cast_to_int,PlayerIndex_nba_stats.csv
HEIGHT,text,0.009353233830845771,0.005572139303482587,3.148252310164725,cast_to_int,PlayerIndex_nba_stats.csv
WEIGHT,float,0.01054726368159204,0.02965174129353234,5.0,,PlayerIndex_nba_stats.csv
COLLEGE,text,0.0001990049751243781,0.14149253731343284,10.57484076433121,,PlayerIndex_nba_stats.csv
COUNTRY,text,0.0,0.015920398009950248,3.47681592039801,,PlayerIndex_nba_stats.csv
DRAFT_YEAR,float,0.263681592039801,0.015522388059701492,6.0,fill_mean,PlayerIndex_nba_stats.csv
DRAFT_ROUND,float,0.3030845771144279,0.003781094527363184,3.0119931467732726,fill_mean,PlayerIndex_nba_stats.csv
DRAFT_NUMBER,float,0.31661691542288556,0.033233830845771146,3.8351776354106,,PlayerIndex_nba_stats.csv
ROSTER_STATUS,float,0.8937313432835821,0.0001990049751243781,3.0,drop_column,PlayerIndex_nba_stats.csv
PTS,float,0.004776119402985075,0.051144278606965174,3.1817636472705457,fill_mean,PlayerIndex_nba_stats.csv
REB,float,0.06288557213930349,0.02746268656716418,3.014015714589085,,PlayerIndex_nba_stats.csv
AST,float,0.004776119402985075,0.018706467661691543,3.0007998400319935,fill_mean,PlayerIndex_nba_stats.csv
STATS_TIMEFRAME,text,0.0,0.0003980099502487562,6.0,,PlayerIndex_nba_stats.csv
FROM_YEAR,integer,0.0,0.01572139303482587,4.0,,PlayerIndex_nba_stats.csv
TO_YEAR,integer,0.0,0.01572139303482587,4.0,,PlayerIndex_nba_stats.csv
